,Category (service/promo),,in category write down the se
IAPP-PATNA MUNICIPAL CORPORATION   REMINDER FOR PROPERTY TAX PAYMENT  DEAR PROPERTY TAX PAYER  KINDLY PAY YOUR CURRENT AND OUTSTANDING TAX,Service,,"reminder, payment,pay"
"Daily get 1.5 lacs in (currency) markets with help of  Auto Trading software. For Live call at, 07381107735 / wa.link/sw4uci
- GuptaEnterprises. I don’t know who is Gupta, why they are sending messages inspite my number is in dnd list",Promotional,,"currency,live call"
Congratulations! You secured Rs {50000} credit line. Get it now! bit.ly/45sCrox GSOU,Promotional,,"congratulation, credit line, get,now"
Congratulations! You secured Rs 20000 credit line. Get it now! cutt.ly/0wo1N7op GSOU,Promotional,,"congratulation, credit line, get,now"
Congratulations! You secured Rs 30000 credit line. Get it now! cutt.ly/Pww1Junn GSOU,Promotional,,"congratulation, credit line, get,now"
"Dear EasyMoney Customer, your promised repay time is coming soon, please repay https://bit.ly/3qTVBVO by our App in time. REALONETECSTATION",Service,,"dear customer,repay"
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book"
IAPP-HI  YOUR ORDER HAS BEEN PLACED  SOUNDS GOOD  TRACK YOUR ORDER WITH THE MOMS CO   NATURAL GLOW ESSENTIALS WORTH RS 997 ONLY AT RE 1  PAY,Service,,"order,worth"
"Dear Thippeswamy G V, You left midway while completing your pre-approved application digitally. Click on the link http://1kx.in/X5jHK7 to complete the rest of your application on Paisabazaar.com. Regards Team Paisabazaar",Service,,"click,link"
"HI THERE, MISSED COMPLETING YOUR MONEYTAP APPLICATION? UP TO RS. 5 LAKHS IS JUST A CLICK AWAY! GET EXTRA FUNDS HERE: A1.MONEYTAP.COM/PYRRNZ",Promotional,,"application, up to,lakhs,click,"
UCC CONTENT,,,
A katha sites facing National Highway NH207 Adjacent to Gitam University Limited sites open. Call - 8073208262 GreenTouch,Promotional,,
"???? ????? ??? ?????
????? ?????????? ????? ?????
????? ??????????? ?????????

?????? iclik.in/SApFO11

?????? ?? ???
??????",,,
promotional,,,
"HDFC BANK PERSONAL LOAN CALL. 
DETAILS: 01-NOV-2023, 11.55 AM",Promotional,,
customer getting promotional calls 8071990911,,,
promo call,,,
"Hi, your Credit Card application with RBL BANK is on hold. Verify bnkbzr.co/wQsdQAMJIo BankBazaar",Service,,
"Hi, we had called you to process your Credit Card application. BankBazaar Download app bnkbzr.page.link/sB5V",Service,,
"Hi, your RBL BANK application is pending. Finish it under 3 mins bnkbzr.co/vbLyXRBvIm BankBazaar",,,
"Hi, get your updated Credit Score. Check & verify your details here bnkbzr.co/vzTFWqrqCQ BankBazaar",Promotional,,
IAPP-BSNL HOUSING SOCIETY RESIDENTIAL SITES FOR SALE NEAR BANGALORE INT AIRPORT ON 6 LANE STRR HIGHWAY PAY IN 4 EASY INSTALMENTS CALL 984511,,,
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
Thanks for Being the member of Cantabil Retail India Limited.If you do not wish to receive promotional sms kindly sms optout (space) cantabil to 56161,,,
EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV & SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS & HOLIDAY PACKAGES  HURRY  BOOK NOW   WWW,Promotional,,"sale,promo code,save up to,book,hurry"
"APP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE: EMTUTSAV & SAVE UP TO 25% ON FLIGHTS, HOTELS, BUS, CABS & HOLIDAY PACKAGES  HURRY! BOOK NO",Promotional,,"sale,promo code,save up to,book,hurry"
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
SMS TRAVEL ADVERTISEMENT,,,
Cx is getting the spam calls. I am registered for DND but getting Promotional Calls or Messages,,,
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
Advertisement about hotel travel booking. I should not be getting this after activating DND,,,
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV & SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS & HOLIDAY PACKAGES  HURRY  BOOK NOW   WWW,Promotional,,"sale,promo code,save up to,book,hurry"
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
"DEAR CUSTOMER, GET UP TO RS. 467000 WITH IDFC FIRST BANK'S PRE-APPROVED PERSONAL LOAN, EXCLUSIVELY FOR YOU. AVAIL NOW HTTPS://IDFCFS.IN/C_ETUD TCA",Promotional,,"customer,get up, loan,avail "
"IAPP-EASEMYTRIP TRAVEL UTSAV SALE USE PROMO CODE: EMTUTSAV & SAVE UP TO 25% ON FLIGHTS, HOTELS, BUS, CABS & HOLIDAY PACKAGES HURRY! BOOK NOW..WWW.EASEMYTRIP.COM",Promotional,,"sale,promo code,save up to,book,hurry"
EASEMYTRIP TRAVEL UTSAV SALE USE PROMO CODE EMTUTSAV & SAVE UP TO 25 ON FLIGHTS HOTELS BUS CABS HOLIDAY PACKAGES HURRY BOOK NOW WWW EASEMYTRIP COM,Promotional,,"sale,promo code,save up to,book,hurry"
IAPP-DEAR BULK SMS USER   FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER  OR DLT TEMPLATE ISSUE   WE HAVE BEST BULK SMS SOLUT,Promotional,,"provider,user,issue"
IAPP-DEAR BULK SMS USER   FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER  OR DLT TEMPLATE ISSUE   WE HAVE BEST BULK SMS SOLUT,Promotional,,"provider,user,issue"
"Dear Bulk SMS User,

Facing a technical issue with your existing BULK SMS Provider? or DLT Template Issue?

We have best bulk sms solution.

Call: 9235400123

NPMIND",Promotional,,"provider,user,issue"
"EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE: EMTUTSAV & SAVE UP TO 25% ON FLIGHTS, HOTELS, BUS, CABS & HOLIDAY PACKAGES  HURRY! BOOK NOW.. W",Promotional,,"sale,promo code,save up to,book,hurry"
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book,hurry"
About Airtel free wifi calling,,,
"EaseMyTrip Travel UTSAV SALE

Use Promo Code: EMTUTSAV & Save up to 25% on Flights, Hotels, Bus, Cabs & Holiday packages

Hurry! Book now..
www.EaseMyTrip.com",Promotional,,"sale,promo code,save up to,book,hurry"
"EaseMyTrip Travel UTSAV SALE

Use Promo Code: EMTUTSAV & Save up to 25% on Flights, Hotels, Bus, Cabs & Holiday packages

Hurry! Book now..
www.EaseMyTrip.com",Promotional,,"sale,promo code,save up to,book,hurry"
735766 is your one time password (OTP) for NNNOW.COM,Service,,
262849 is your one time password (OTP) for NNNOW.COM,Service,,
promotional clls sms,,,
IAPP-DEAR BULK SMS USER   FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER  OR DLT TEMPLATE ISSUE   WE HAVE BEST BULK SMS SOLUT,Promotional,,
IAPP-DEAR BULK SMS USER   FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER  OR DLT TEMPLATE ISSUE   CONTACT FOR BEST BULK SMS S,,,
BULK SMS SPAM,Promotional,,
Your OTP for Meesho login is 865705 and is valid for 30 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM6bXKNc Meesho,Service,,
Your OTP for Meesho login is 539216 and is valid for 30 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM6bXKNc Meesho,Service,,
Your OTP for Meesho login is 169022 and is valid for 30 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM6bXKNc Meesho,Service,,
Your OTP for Meesho login is 205894 and is valid for 30 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM6bXKNc Meesho,Service,,
Your OTP for Meesho login is 442984 and is valid for 30 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM6bXKNc Meesho,Service,,
7964 is your verification code to login to your Snapdeal Account. It is valid for 8 minutes. DO NOT share this code with anyone. - Team Snapdeal,Service,,
Your mPokket verification code is 483242,Service,,
Your OTP for Meesho login is 822769 and is valid for 30 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM6bXKNc Meesho,Service,,
Your OTP for Meesho login is 907327 and is valid for 30 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM6bXKNc Meesho,Service,,
Your OTP for Meesho login is 115375 and is valid for 30 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM6bXKNc Meesho,Service,,
"Dear Customer,6452 is your login OTP. for Dealshare. Treat this as confidential. Thanks - Dealshare",Service,,
"MAA HARDWARE, your contactor sadirul islam has registered the purchase of 30 bags of ambuja cement on 2023-10-29 from your shop with transaction id 79399932 sadirul islam will get credited with 30 points after approval please contact Ambuja officer for any issues - Ambuja Cement",Service,,
IAPP-PATNA MUNICIPAL CORPORATION   REMINDER FOR PROPERTY TAX PAYMENT  DEAR PROPERTY TAX PAYER  KINDLY PAY YOUR CURRENT AND OUTSTANDING TAX,Service,,
EaseMyTrip Travel UTSAV sale,Promotional,,
"Its time to upgrade! Enjoy all your airtel Postpaid benefits on a Digital eSIM! Upgrade your SIM Card absolutely FREE, and say bye to any future physical SIM issues. To convert your SIM to eSIM simply visit i.airtel.in/esim_1",Promotional,,
Airtel wifi,Promotional,,
dnd activated still gettting calls,,,
promo  and  frauds call,Promotional,,
promotional call  and sms,Promotional,,
IAPP-YOUR TRANSACTION OF AMOUNT 4040 0 AGAINST AEPS CASH WITHDRAWAL DATED 01 11 2023 AT 18 07 39 IS SUCCESSFUL WITH TXN ID RRN 330518330680,Service,,
stop prmostions,Promotional,,
"EaseMyTrip Travel UTSAV SALE

Use Promo Code: EMTUTSAV & Save up to 25% on Flights, Hotels, Bus, Cabs & Holiday packages

Hurry! Book now..
www.EaseMyTrip.com",Promotional,,
"Hey HDFC REWARD POINT WON RS4999, your Link https://rb.gy/yaed5 has successfully been updated at The Rooted Co.",Service,,
bank promotional calls,Promotional,,
Just a single alphabet “p”,,,
Please use otp: 556406 to validate.,Service,,
promotional call and sms from airtel,Promotional,,
"EaseMyTrip Travel UTSAV SALE use promo code: EMTUTSAV & Save up to 25% on flights, hotels, bus, cabs & Holiday packages
Hurry! Book now..
link...",Promotional,,
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,
Never respond to emails/embedded links in messages/calls asking you to update or verify KYC documents/User ID/Password/Debit Card Number/PIN/CVV/OTP etc. Immediately change your passwords/CVV/PIN if you have accidentally revealed your credentials.,Promotional,,
Save ICICI Bank Express Relationship Banking Number 022-44400000 to connect with your dedicated Relationship Manager for a seamless banking experience.,Promotional,,
"I held an account with Indian Bank which was closed in 2022. Since the last month, they have again started sending me informational messages even though I am not a customer of theirs anymore. Their customer care is useless, hence I need Airtel to block them from sending me messages.

Here's the latest message from them:

Dear Customer, w.e.f 01.11.2023, kindly ""Collect the Card first"" before collecting the cash during Cash Withdrawals in Indian bank ATM/BNAs - Indian Bank",Promotional,,
promo calls,Promotional,,
cusomer ko koi v offer ke liye cl nehi chahiye,,,
About wifi calling,Promotional,,
Airtel Providers,Promotional,,
HI! SHOP AT FABINDIA FOR ALL YOUR FESTIVE FAVORITES FOR A MINIMUM OF RS.7500 & GET FABCOINS WORTH RS. 500! VALID TILL 15TH NOV. TNC. TXTN.IN/L/39032?QK9HBTL,Promotional,,
"EaseMyTrip Travel UTSAV SALE

Use Promo Code: EMTUTSAV & Save up to 25% on Flights, Hotels, Bus, Cabs & Holiday packages

Hurry! Book now..
www.EaseMyTrip.com",Promotional,,
"EaseMyTrip Travel UTSAV SALE

Use Promo Code: EMTUTSAV & Save up to 25% on Flights, Hotels, Bus, Cabs & Holiday packages

Hurry! Book now..
www.EaseMyTrip.com",Promotional,,
"While receiving any international call, if an Indian number or no number is displayed on your phone, please inform on the DoT toll-free number 1800110420/1963.",Promotional,,
cx is recieving 20 sms in a day and ( P) is written inside sms cx is facing issue since last 5 days,Service,,
2910 is your verification code to login to your Snapdeal Account. It is valid for 8 minutes. DO NOT share this code with anyone. - Team Snapdeal,Service,,
Spam message for booking travel tickets through their portal with pramotional coupons to get discount.,Promotional,,
"EaseMyTrip Travel UTSAV SALE

Use Promo Code: EMTUTSAV & Save up to 25% on Flights, Hotels, Bus, Cabs & Holiday packages

Hurry! Book now..
www.EaseMyTrip.com",Promotional,,
"Villa-Plots, Near Navi-Mumbai Airport,
Novotel-Imagica, from-49Lacs,
80-Acres, Plotted-Development
7/12-on-Your-Name,
-E-Brochure:
https://wa.link/Imagica-Plots",Promotional,,
"Important Update! Your cash loan from NAVI up to Rs.5,00,000 is waiting. No Paperwork & Direct transfer to Bank A/c. Check Offer http://Kx3.in/t5AybK",Promotional,,
customer is getting promotional massage,Promotional,,
"Godrej-Platinum, Vikhroli-E.
Eastern-Exp-Highway.
X-Large-Carpet 2/3/3.5/4BHK from-3.79Cr.
Life-Time-Mangroves-Views
E-Brochure:
https://wa.link/godrej-platinum",Promotional,,
cx receive unnecessary sms,,,
IAPP-HI  YOUR APPOINTMENT CAN CONFIRM WITH LADY PARTNER IN YOUR LOCATION  CALL NOW NAINA  9749644010 AJAY,Service,,
FRAUD CALL OR MESSAGE FOR SCAMMING,Promotional,,
FRAUD CALL OR MESSAGE FOR SCAMMING,Promotional,,
"Easemytrip travel UTSAV sale use promo code EMTUTSAV & save upto 25% on flights, hotels bus cabs & holiday packages Hurry Book now LINK",Promotional,,
"Hi, Fill in Employment Details and Verify your Income for a Higher Credit Limit up to Rs.4 Lakhs. Repay your Loan in up to 24 months. T&C. kredt.be/3u9CoOh",Promotional,,
"BSNL HOUSING SOCIETY PLOTS NEAR BANGALORE AIRPORT ON 6 LANE NATIONAL HIGHWAY, 4 EASY INSTALMENTS. OPEN FOR GENERAL PUBLIC CALL 7353033030 EQNGLO",Promotional,,
"Dear Customer, enjoy your summer break with IDFC FIRST Bank's digital personal loan offer of Rs. 287000 just for you. https://idfcfs.in/C_axCt TCA",Promotional,,
IAPP-OPEN LAST DAY  2 NOVEMBER DESIGNER WEAR JEWELRY ACCESORIES SPECIAL NAVRATRI 10AM TO 9PM ESTRI EXHIBITION RANISATI MANDIR SAHIBAUGH NISH,Promotional,,
"Hi, your Netflix subscription is currently active on your Airtel Xstream fiber! Claim today at no extra cost https://i.airtel.in/BB-Basic",Service,,
"New Launch at Baner-Hinjewadi
Presenting Godrej River Royale
Exclusive 3&4 BHK Tower
with 1688 - 2304 sqft.
Price @ 2.50Cr+
Cl:8657903157
W:bit.ly/G_Pune PCRSPL",Promotional,,
call/SMS received  ho rahy hai,,,
"Speak Kannada Walk Kannada
Know Kannada by letter by letter
Happy Kannada Rajyotsava
Video iclik.in/oQtpJ11
Vinod K Gowda
BJP",Promotional,,
IAPP-DEAR USER   FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER  OR DLT TEMPLATE ISSUE   WE HAVE BEST BULK SMS SOLUTIONS   CA,Promotional,,
promotional call,,,
IAPP-DEAR USER   FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER  OR DLT TEMPLATE ISSUE   WE HAVE BEST BULK SMS SOLUTIONS   CA,Promotional,,
IAPP-DEAR USER   FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER  OR DLT TEMPLATE ISSUE   WE HAVE BEST BULK SMS SOLUTIONS   CA,Promotional,,
IAPP-ITS TIME TO UPGRADE  ENJOY ALL YOUR AIRTEL POSTPAID BENEFITS ON A DIGITAL ESIM  UPGRADE YOUR SIM CARD ABSOLUTELY FREE  AND SAY BYE TO A,Promotional,,
IAPP-DEAR USER   FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER  OR DLT TEMPLATE ISSUE   WE HAVE BEST BULK SMS SOLUTIONS   CA,Promotional,,
"Shopping advertisements, offers",Promotional,,
"Hi Tanmay, you're shortlisted for ZIP credit of Rs 60000 at 0 interest. Shop free & pay-later. https://w6em.app.link/zips -MobiKwik",Promotional,,
promo calls,Promotional,,
Please click on the link to get Rs.10000 credited on your account,Promotional,,
IAPP-YOUR PROFILE IS ELIGIBLE WITH KREDITBEE  GET INSTANT DISBURSAL UPTO RS 4 LACS  SUBMIT YOUR KYC NOW HTTPS   BIT LY 3FBQW54 LINKBELL,Promotional,,
dnd act hai but call arhe hai,,,
IAPP-DEAR MEMBER  YOUR TITAN ENCIRCLE POINTS WORTH RS 15 00 ARE EXPIRING ON 31 12 23  REDEEM THEM NOW AT ANY OF OUR TITAN BRAND SHOWROOMS OR,Service,,
promo calls,,,
unwanted call,,,
wifi calling ad,,,
promo calls,,,
257940 is your one time password (OTP) for NNNOW.COM,Service,,
promotion calls,,,
Promotional,,,
PERSONAL LOAN SPAM,,,
UNSOLICITED COMMERCIAL SMS AND SPAM,,,
Your DTDC OTP is 123458 Happy shipping,Service,,
REPEATED LOAN SMS BEING SENT,,,
"Message -
Access cash 24/7 with HDFC Bank Personal Loan of Rs 7.5 Lacs  Quick Disbursal, No Paperwork.
Get started now!
Click: hdfcbk.net/MN1jl9Nl
T&C",Promotional,,
IAPP-DEAR USER   FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER  OR DLT TEMPLATE ISSUE   WE HAVE BEST BULK SMS SOLUTIONS   CA,Promotional,,
IAPP-YOUR APPOINTMENT IS CONFIRMED WITH SHUDDHI CLINIC ADDRESS KEDARAM TRADE CENTER  2ND FLOOR   E BLOCK  BESIDE HUB TOWN NEAR GITA MANDIR B,Service,,
"Dear Customer, the truck No UP27AT9595 is out from our factory after loading of 320 QTLS Sugar, Invoice No TI1006837208. DCM SHRIRAM LTD - SUGAR UNIT - RUPAPUR",Service,,
promotional call and sms from airtel,,,
"Dear Customer, the truck No UP27BT9090 is out from our factory after loading of 360 QTLS Sugar, Invoice No TI1006837317. DCM SHRIRAM LTD - SUGAR UNIT - RUPAPUR",Service,,
IAPP-HI  WHILE INVESTIGATING FOR THE SERVICE REQUEST NO  31 5143795307217 RELATED TO DND ISSUE ON YOUR AIRTEL NUMBER  WE COULDN T FIND THE C,Service,,
IAPP-YOUR REQUEST FOR MINI STATEMENT DATED 02 11 2023 AT 17 58 25 IS SUCCESSFUL WITH TXN ID RRN 330617371465  PLEASE FIND THE RECEIPT OF YOU,Service,,
customerv ko koi offer ki cl nehi chahiye,,,
Unwanted calls from airtel,,,
PROMOTION FOR ESIM,,,
SPAM MASSAGES,,,
(AIRTEL PROMTION,,,
Please use otp: 427267 to validate.,Service,,
"Godrej-Platinum, Vikhroli-E.
Eastern-Exp-Highway.
X-Large-Carpet 2/3/3.5/4BHK from-3.79Cr.
Life-Time-Mangroves-Views
E-Brochure:
https://wa.link/godrej-platinum",Promotional,,
Vishal Mega Mart,,,
IAPP-REFUND INITIATED  AMT  RS 359 00 ON HDFC BANK CREDIT CARD 1124 TO RECEIVE YOUR REFUND PLEASE UPDATE YOUR BANK DETAILS HDFCBK IO A PYRNK,Service,,
ADVERTISING ABOUT AIRTEL XTREME,Promotional,,
customer getting unwanted call or sms,,,
IAPP-PATNA MUNICIPAL CORPORATION   REMINDER FOR PROPERTY TAX PAYMENT  DEAR PROPERTY TAX PAYER  KINDLY PAY YOUR CURRENT AND OUTSTANDING TAX,Service,,
PROMO CALLS,,,
Experience the power of Airtel Xstream Fiber with plans starting at just Rs 499. Get superfast Wi-Fi and stay connected. Upgrade today! Click the link to know more i.airtel.in/PreRest2,Promotional,,
"Dear Customer,
Don't miss out on Instant Discount of upto Rs.5,000* on iPhone 15 with HDFC Bank Debit cards.
Get it now hdfcbk.io/A9KPLJB75Ncj
T&C",Promotional,,
Please use otp: 225269 to validate.,Service,,
SMS for real estate booking from Godrej,Promotional,,
SMS for real estate shbdevelopers.com,Promotional,,
Your OTP for Meesho login is 809831 and is valid for 30 mins. Please DO NOT share this OTP with anyone to keep your account safe. oBcOM6bXKNc Meesho,Service,,
"Dear Customer,5123 is your login OTP. for Dealshare. Treat this as confidential. Thanks - Dealshare",Service,,
CUSTOMER WANTS TO BLOCK SERVICES,,,
"Dear Customer, get a pre-approved Personal Loan of Rs. 50000 from IDFC FIRST Bank with ZERO hassle & documentation. https://idfcfs.in/DAIyPo TCA",Promotional,,
howzat or car tfk,,,
Recieved promotional personal bank loan message.,,,
THE UNSOLICITED COMMERCIAL COMMUNICATION,,,
IAPP-THANK YOU FOR SHOWING INTEREST IN FRNDSHIP  OUR REPRESENT WILL CALL YOU BACK SOON  CUSTOMER CARE   JENNIE 8372998344  MORE DETAILS ON,Service,,
SMS RECEIVES,,,
"Alert Day 4: Still not recharged? To restart outgoing on your Airtel number, please recharge. Incoming will get blocked on 2023-11-6",Service,,
"Witness the Elegance@Ruparel Panache,Santacruz(W)
Offering 2&3 Bed Deck Residences,21+lifestyle amenities Earn assured RENTAL upto 2Lac
T&C Apply
9018149149",Promotional,,
promotional sms from airtel,,,
Please use otp: 725585 to validate.,Service,,
"Dear Customer, resolve the Write-off status on your Credit Card xxx7791 by paying Rs. 7951.15 at cmys.in/MECRIoj97o - ClearMyDues",Service,,
WIFI and Router related calls,,,
"UNSOLICITED, BULK SMS, COMMERCIAL SMS,  DEAR BULK SMS USER  FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER? OR DLT TEMPLATE ISSUE?  WE HAVE BEST BULK SMS SOLUTIONS.  CALL: 9235400123  NPMIND",Promotional,,
IAPP-DEAR BULK SMS USER   FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER  OR DLT TEMPLATE ISSUE   WE HAVE BEST BULK SMS SOLUT,Promotional,,
IAPP-DEAR CUSTOMER   GREETINGS FROM UNIVERSAL SOMPO GENERAL INSURANCE  THE DO FOR YOUR VEHICLE UNDER MOTOR POLICY NO  2311 70625085 00 002 FO,Service,,
flash message + spam message,,,
